date,country,cpi
1970-04-01,United States,16.71715
1970-07-01,Canada,17.42773
1970-07-01,France,15.38576
1970-07-01,Germany,30.4568
1970-07-01,Japan,31.84362
1970-07-01,New Zealand,6.740664
1970-07-01,Sweden,14.65244
1970-07-01,United Kingdom,9.345517999999998
1970-07-01,United States,16.93711
1970-10-01,Canada,17.41524
1970-10-01,France,15.55315
1970-10-01,Germany,30.78182
1970-10-01,Japan,32.642959999999995
1970-10-01,New Zealand,7.0315330000000005
1970-10-01,Sweden,14.87676
1970-10-01,United Kingdom,9.531077
1970-10-01,United States,17.26706
1971-01-01,Canada,17.50534
1971-01-01,France,15.76772
1971-01-01,Germany,31.50317
1971-01-01,Japan,33.08805
1971-01-01,New Zealand,7.214094999999999
1971-01-01,Sweden,15.42158
1971-01-01,United Kingdom,9.762148
1971-01-01,United States,17.37704
1971-04-01,Australia,9.746926
1971-04-01,Canada,17.68473
1971-04-01,France,15.99899
1971-04-01,Germany,31.99036
1971-04-01,Japan,33.89133
1971-04-01,New Zealand,7.396507000000001
1971-04-01,Sweden,15.4004
1971-04-01,United Kingdom,10.08718
1971-04-01,United States,17.55576
1971-07-01,Australia,10.08179
1971-07-01,Canada,17.968729999999997
1971-07-01,France,16.20459
1971-07-01,Germany,32.334109999999995
1971-07-01,Japan,34.24935
1971-07-01,New Zealand,7.545145
1971-07-01,Sweden,15.58942
1971-07-01,United Kingdom,10.22542
1971-07-01,United States,17.72073
1971-10-01,Australia,10.2738
1971-10-01,Canada,18.11211
1971-10-01,France,16.42531
1971-10-01,Germany,32.63596
1971-10-01,Japan,34.70005
1971-10-01,New Zealand,7.719282000000001
1971-10-01,Sweden,15.88234
1971-10-01,United Kingdom,10.3354
1971-10-01,United States,17.85821
1972-01-01,Australia,10.37534
1972-01-01,Canada,18.31331
1972-01-01,France,16.62796
1972-01-01,Germany,33.25904
1972-01-01,Japan,34.968309999999995
1972-01-01,New Zealand,7.87334
1972-01-01,Sweden,16.17204
1972-01-01,United Kingdom,10.47508
1972-01-01,United States,17.94069
1972-04-01,Australia,10.49454
1972-04-01,Canada,18.51247
1972-04-01,France,16.866410000000002
1972-04-01,Germany,33.61526
1972-04-01,Japan,35.78483
1972-04-01,New Zealand,7.978363000000001
1972-04-01,Sweden,16.35933
1972-04-01,United Kingdom,10.69228
1972-04-01,United States,18.09192
1972-07-01,Australia,10.68812
1972-07-01,Canada,18.83664
1972-07-01,France,17.19267
1972-07-01,Germany,34.0911
1972-07-01,Japan,36.1402
1972-07-01,New Zealand,8.092583
1972-07-01,Sweden,16.569329999999997
1972-07-01,United Kingdom,10.85827
1972-07-01,United States,18.24314
1972-10-01,Australia,10.77776
1972-10-01,Canada,18.99887
1972-10-01,France,17.54475
1972-10-01,Germany,34.55552
1972-10-01,Japan,36.6602
1972-10-01,New Zealand,8.191146
1972-10-01,Sweden,16.78139
1972-10-01,United Kingdom,11.14293
1972-10-01,United States,18.39437
1973-01-01,Australia,10.93323
1973-01-01,Canada,19.25265
1973-01-01,France,17.689610000000002
1973-01-01,Germany,35.2723
1973-01-01,Japan,37.50719
1973-01-01,New Zealand,8.348358000000001
1973-01-01,Sweden,17.14459
1973-01-01,United Kingdom,11.26813
1973-01-01,United States,18.44936
1973-04-01,Australia,11.30815
1973-04-01,Canada,19.61397
1973-04-01,France,18.02924
1973-04-01,Germany,35.90496
1973-04-01,Japan,39.45814
1973-04-01,New Zealand,8.556141
1973-04-01,Sweden,17.42312
1973-04-01,United Kingdom,11.63757
1973-04-01,United States,18.669320000000003
1973-07-01,Australia,11.63788
1973-07-01,Canada,20.09063
1973-07-01,France,18.44415
1973-07-01,Germany,36.2836
1973-07-01,Japan,40.69278
1973-07-01,New Zealand,8.728411
1973-07-01,Sweden,17.60962
1973-07-01,United Kingdom,11.83447
1973-07-01,United States,18.86179
1973-10-01,Australia,11.98604
1973-10-01,Canada,20.43116
1973-10-01,France,18.89469
1973-10-01,Germany,36.72245
1973-10-01,Japan,42.31558
1973-10-01,New Zealand,8.925138
1973-10-01,Sweden,17.94645
1973-10-01,United Kingdom,12.14972
1973-10-01,United States,19.21922
1974-01-01,Australia,12.37278
1974-01-01,Canada,20.85393
1974-01-01,France,19.38236
1974-01-01,Germany,37.58986
1974-01-01,Japan,45.45087
1974-01-01,New Zealand,9.136924
1974-01-01,Sweden,18.53588
1974-01-01,United Kingdom,12.4714
1974-01-01,United States,19.43919
1974-04-01,Australia,12.85827
1974-04-01,Canada,21.53576
1974-04-01,France,20.1527
1974-04-01,Germany,38.35616
1974-04-01,Japan,47.51886
1974-04-01,New Zealand,9.388944
1974-04-01,Sweden,18.75789
1974-04-01,United Kingdom,13.23552
