date,value
1960-01-01,1.70313947886287
1960-04-01,1.77971272247314
1960-07-01,1.75993009494937
1960-10-01,1.77042453759918
1961-01-01,1.8270945279081
1961-04-01,1.90595966129247
1961-07-01,1.87117118703726
1961-10-01,1.89544109348715
1962-01-01,1.93319696187092
1962-04-01,1.89708160406229
1962-07-01,1.95261771206193
1962-10-01,2.00885344957155
1963-01-01,2.12656008333794
1963-04-01,2.07640388501854
1963-07-01,2.14482282606414
1963-10-01,2.14682521397204
1964-01-01,2.27500216523271
1964-04-01,2.20959886862671
1964-07-01,2.35997096296282
1964-10-01,2.45483107445481
1965-01-01,2.48621790178215
1965-04-01,2.49183906301756
1965-07-01,2.47212881096035
1965-10-01,2.52978793264546
1966-01-01,2.68484030715183
1966-04-01,2.85113500412902
1966-07-01,2.80184731140823
1966-10-01,2.83914480183718
1967-01-01,2.93482516861674
1967-04-01,2.99610306362937
1967-07-01,3.12013048814116
1967-10-01,3.14073337095249
1968-01-01,3.34058615925353
1968-04-01,3.38975322619673
1968-07-01,3.56371972262826
1968-10-01,3.50290020557045
1969-01-01,3.6819329846605
1969-04-01,3.80904842907844
1969-07-01,4.11611340849606
1969-10-01,4.19888681707414
1970-01-01,4.12774173345515
1970-04-01,4.29372280341062
1970-07-01,4.3202845996346
1970-10-01,4.65313937029967
1971-01-01,4.67924278856883
1971-04-01,4.83166552112387
1971-07-01,4.84100195630886
1971-10-01,4.87735856567265
1972-01-01,4.94746626760443
1972-04-01,5.09368883519165
1972-07-01,5.17764437639006
1972-10-01,5.3977622953252
1973-01-01,5.5762884461494
1973-04-01,5.81061608168392
1973-07-01,6.10639048831968
1973-10-01,6.19476093297766
1974-01-01,6.4534067252731
1974-04-01,6.43639849063377
1974-07-01,6.53685563820566
1974-10-01,6.51456399450815
1975-01-01,6.60672208858226
1975-04-01,6.91776771866016
1975-07-01,7.1154733681202
1975-10-01,7.33503640847845
1976-01-01,7.54692764938236
1976-04-01,7.90972173804375
1976-07-01,8.06318185228602
1976-10-01,8.1538683118736
1977-01-01,8.23548371298689
1977-04-01,8.65328315622655
1977-07-01,9.1732767582353
1977-10-01,9.51894198647978
1978-01-01,9.44188623975917
1978-04-01,9.73290799075814
1978-07-01,9.91387078228953
1978-10-01,10.3894740981474
1979-01-01,10.8555479775762
1979-04-01,10.9375976314887
1979-07-01,10.6348751800641
1979-10-01,10.4733572638793
1980-01-01,10.5661667371523
1980-04-01,10.5091589946662
1980-07-01,10.7080950270576
1980-10-01,10.4119346179335
1981-01-01,10.8403973799116
1981-04-01,11.1022518178908
1981-07-01,11.5644174221258
1981-10-01,11.745838591612
1982-01-01,11.8255481054395
1982-04-01,12.1032527705932
1982-07-01,12.3542750137453
1982-10-01,12.7430518948983
1983-01-01,13.307628784302
1983-04-01,13.7185284330639
1983-07-01,14.2279793421118
1983-10-01,14.3298357487037
1984-01-01,14.9576687958725
1984-04-01,15.3325737126033
1984-07-01,15.5415940600007
1984-10-01,15.6171299219238
1985-01-01,16.0561112517072
1985-04-01,16.4428857449522
1985-07-01,16.6299522008294
1985-10-01,17.1369423440146
1986-01-01,17.4669020960176
1986-04-01,18.1476174840792
1986-07-01,18.9310819094868
1986-10-01,19.2263738130122
1987-01-01,19.8438330433088
1987-04-01,20.8267401293736
1987-07-01,21.0299463142914
1987-10-01,21.4579748234702
1988-01-01,23.1109339788582
1988-04-01,22.6115673848163
1988-07-01,23.3228493449176
1988-10-01,24.0819232380977
1989-01-01,24.0923453052809
1989-04-01,24.4442348236487
1989-07-01,25.0710787394413
1989-10-01,26.1064580387551
1990-01-01,26.3723655028611
1990-04-01,26.9606332949824
1990-07-01,27.8322510386483
1990-10-01,28.3981548116054
1991-01-01,29.4631356767384
1991-04-01,29.9526592073294
1991-07-01,30.595232724519
1991-10-01,31.3612064121768
1992-01-01,31.9195590114573
1992-04-01,32.1435369552751
1992-07-01,32.1652737203957
1992-10-01,32.667269956389
1993-01-01,33.3175635233439
1993-04-01,34.1722695329925
1993-07-01,34.8022979693133
1993-10-01,35.4682970125096
1994-01-01,36.5028560565359
1994-04-01,37.0984337707787
1994-07-01,37.7225032936869
1994-10-01,39.2051629762818
1995-01-01,40.024742759498
1995-04-01,40.8339728509975
1995-07-01,41.6816343152352
1995-10-01,42.4613110912266
1996-01-01,43.2715303141023
1996-04-01,44.1456811990974
1996-07-01,44.9221734545606
1996-10-01,45.6820676030283
1997-01-01,45.8958888563735
1997-04-01,47.5254466109102
1997-07-01,47.9017266615055
1997-10-01,47.6832975034565
1998-01-01,44.4322397963258
1998-04-01,44.073257482236
1998-07-01,44.8432841960208
1998-10-01,45.9625949113774
1999-01-01,47.3573907775803
1999-04-01,49.4331432833999
1999-07-01,50.8079635208348
1999-10-01,52.2744110989225
2000-01-01,53.2650382347527
2000-04-01,53.9748003100565
2000-07-01,55.4615853942448
2000-10-01,55.2816358592452
2001-01-01,55.959142601623
2001-04-01,56.6859852870327
2001-07-01,57.4513558458026
2001-10-01,58.4639851234641
2002-01-01,59.95159046294
2002-04-01,61.0379944661718
2002-07-01,62.2720685463219
2002-10-01,62.9554135763348
2003-01-01,62.5404367762906
2003-04-01,62.4440326548455
2003-07-01,63.6508694344171
2003-10-01,65.3309211394504
2004-01-01,66.1506939239107
2004-04-01,66.6557540546546
2004-07-01,66.9261005473756
2004-10-01,67.4333560672716
2005-01-01,68.0071487660827
2005-04-01,69.290486413798
2005-07-01,70.3335375125662
2005-10-01,71.0456397279551
2006-01-01,72.2101609847502
2006-04-01,72.7377298855913
2006-07-01,73.9116840781935
